,Infected asymptomatic,Infected symptomatic,Critical Cases,Diseased,Susceptible,Isolated,Recovered,total infected,accumulated cases,critical cases recovery rate,death rate,deimmunization rate,infected asymptomatic recovery rate,infected critical case rate,infected symptomatic recovery rate,infection rate,infection rate asymptomatic self,infection rate quarantined self,infection rate symptomatic self,isolated recovery rate,isolation rate asymptomatic,isolation rate symptomatic,isolated critical case rate,symptomatic rate,new cases,contact infectivity asymptomatic self,contact infectivity quarantine self,contact infectivity symptomatic self,fraction of symptomatic,non controlled population,incidence per 100000,case fatality rate,total infection rate,contacts per person symptomatic self,init total population
297.0,15322.420331024505,5964.285511084078,777.1045266002712,211040.26922678633,3628087.2275622836,0.0,4138809.692842257,21286.705842108582,5289742.061446724,46.626271596016274,31.084181064010853,11496.693591228492,766.1210165512252,119.28571022168157,1073.571391995134,3197.6591748237947,2676.702946707563,0.0,520.9562281162316,0.0,0.0,0.0,0.0,1532.2420331024505,1532.2420331024505,0.375,0.03749999999999999,0.1875,0.28018828067261337,7788183.62624665,66121.76750286312,0.03989613610177953,3197.6591748237947,15.0,8000001
298.0,16251.508740682682,6314.768346537587,820.0030935359716,211072.18891510423,3636275.56291421,0.0,4129266.9679899653,22566.277087220267,5291319.522159484,49.20018561215829,32.80012374143887,11470.186022194348,812.5754370341341,126.29536693075174,1136.6583023767657,3398.261603661192,2845.4419528137073,0.0,552.8196508474849,0.0,0.0,0.0,0.0,1625.1508740682682,1625.1508740682682,0.375,0.03749999999999999,0.1875,0.2798320840487138,7788108.807991395,66141.48575930783,0.039890274633984264,3398.261603661192,15.0,8000001
299.0,17243.943562987482,6688.849198196346,865.7142211171621,211105.8792832544,3644230.2509982204,0.0,4119866.362736259,23932.792761183828,5292992.973490711,51.942853267029726,34.628568844686484,11444.073229822941,862.1971781493742,133.77698396392694,1203.9928556753423,3612.696011990348,3025.840885034992,0.0,586.8551269553561,0.0,0.0,0.0,0.0,1724.3943562987483,1724.3943562987483,0.375,0.03749999999999999,0.1875,0.2794846913580797,7788029.406495663,66162.4038983334,0.039884027872425225,3612.696011990348,15.0,8000001
300.0,18304.198843670292,7088.198323176159,914.4352665606441,211141.45667360554,3651937.394014868,0.0,4110615.3168781535,25392.39716684645,5294768.967828905,54.866115993638644,36.57741066242577,11418.375880217092,915.2099421835146,141.7639664635232,1275.8756981717086,3841.9288740753154,3218.7143381780907,0.0,623.2145358972249,0.0,0.0,0.0,0.0,1830.4198843670292,1830.4198843670292,0.375,0.03749999999999999,0.1875,0.2791464813897467,7787945.108059868,66184.60382478584,0.03987736914613351,3841.9288740753154,15.0,8000001
301.0,19437.05199184466,7514.602749042315,966.3777070537792,211179.04559772534,3659382.1188874943,0.0,4101521.8030668744,26951.654740886974,5296654.519762701,57.98266242322675,38.655108282151176,11393.116119630207,971.852599592233,150.2920549808463,1352.6284948276166,4086.9884430394554,3424.9287144439572,0.0,662.0597285954981,0.0,0.0,0.0,0.0,1943.705199184466,1943.705199184466,0.375,0.03749999999999999,0.1875,0.27881786188223523,7787855.576695256,66208.17322101211,0.0398702699618752,4086.9884430394554,15.0,8000001
302.0,20647.60011134853,7969.973364700838,1021.7680864083296,211218.77931966042,3666548.515751452,0.0,4092594.3633664655,28617.573476049365,5298657.137220284,61.30608518449977,40.87072345633319,11368.31767601796,1032.3800055674265,159.39946729401677,1434.5952056461508,4348.967288028525,3645.4042854938307,0.0,703.5630025346944,0.0,0.0,0.0,0.0,2064.760011134853,2064.760011134853,0.375,0.03749999999999999,0.1875,0.27849927148334475,7787760.452593967,66233.20593610281,0.039862699897292735,4348.967288028525,15.0,8000001
303.0,21941.2763309466,8456.352207748057,1080.849008554462,211260.80047800523,3673419.5740968743,0.0,4083842.147877907,30397.628538694655,5300784.854243411,64.85094051326772,43.233960342178484,11344.005966327519,1097.06381654733,169.12704415496117,1522.1433973946503,4629.024644506736,3881.117081866841,0.0,747.9075626398946,0.0,0.0,0.0,0.0,2194.12763309466,2194.12763309466,0.375,0.03749999999999999,0.1875,0.2781911818214222,7787659.350513476,66259.80239556734,0.039854626491562975,4629.024644506736,15.0,8000001
304.0,23323.8659262934,8975.919903269087,1143.8801767455182,211305.2617486169,3679977.116792823,0.0,4075274.9554522866,32299.78582956249,5303046.265386134,68.63281060473108,45.75520706982073,11320.208209589686,1166.19329631467,179.51839806538175,1615.6655825884357,4928.3885041266685,4133.100545338957,0.0,795.2879587877113,0.0,0.0,0.0,0.0,2332.38659262934,2332.38659262934,0.375,0.03749999999999999,0.1875,0.27789409968947365,7787551.8580746725,66288.07003131793,0.03984601513432789,4928.3885041266685,15.0,8000001
305.0,24801.52198094158,9531.003196391192,1211.1394764767228,211352.32654976673,3686201.732300609,0.0,4066903.276495849,34332.52517733277,5305450.561705316,72.66836858860337,48.44557905906892,11296.953545821802,1240.076099047079,190.62006392782385,1715.5805753504144,5248.3573573257,4402.446868321142,0.0,845.9104890045585,0.0,0.0,0.0,0.0,2480.152198094158,2480.152198094158,0.375,0.03749999999999999,0.1875,0.27760856934239747,7787437.533973791,66318.123731551,0.03983682895385087,5248.3573573257,15.0,8000001
306.0,26380.78028131772,10124.082506068626,1282.9240990745163,211402.16979142145,3692072.7054781187,0.0,4058738.337844033,36504.862787386344,5308007.568282338,76.97544594447098,51.31696396298065,11274.273160677869,1319.039014065886,202.48165012137252,1822.3348510923527,5590.301486892437,4690.307931522988,0.0,899.9935553694496,0.0,0.0,0.0,0.0,2638.078028131772,2638.078028131772,0.375,0.03749999999999999,0.1875,0.27733517490625487,7787315.906109538,66350.08630976843,0.03982702870558092,5590.301486892437,15.0,8000001
